"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"936","KY426756",NA,2016-09-23,2016.72677595628,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11021,"nflg","Illumina","Usutu virus strain V489, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"937","KY426755",NA,2016-09-19,2016.71584699454,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11009,"nflg","Illumina","Usutu virus strain V472, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"938","KY426754",NA,2015-09-09,2015.68767123288,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10689,"nflg","Illumina","Usutu virus strain V466, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"939","KY426753",NA,2015-08-18,2015.62739726027,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10951,"nflg","Illumina","Usutu virus strain V465, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"940","KY426752",NA,2015-08-18,2015.62739726027,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10948,"nflg","Illumina","Usutu virus strain V464, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"941","KY426751",NA,2015-09-01,2015.66575342466,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","pilaris",NA,10954,"nflg","Illumina","Usutu virus strain V461, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"942","KY426750",NA,2015-10-07,2015.76438356164,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10962,"nflg","Illumina","Usutu virus strain V453, complete genome",28181903,"Euro Surveill. 22 (4), 30452 (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (04-JAN-2017) Virology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2017-02-28,"European","nflg","subdivision_missing"
"943","KY263626",NA,2016-09-01,2016.66666666667,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11066,"nflg",NA,"Usutu virus strain USU-BE-Lincent/2016, complete genome",28181903,"Euro Surveill. 22 (4) (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (25-NOV-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","nflg","subdivision_missing"
"944","KY263625",NA,2016-10-01,2016.74863387978,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11066,"nflg",NA,"Usutu virus strain USU-BE-Frameries/2016, complete genome",28181903,"Euro Surveill. 22 (4) (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (25-NOV-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","nflg","subdivision_missing"
"945","KY263624",NA,2016-10-01,2016.74863387978,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11065,"nflg",NA,"Usutu virus strain USU-BE-Flemalle/2016, complete genome",28181903,"Euro Surveill. 22 (4) (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (25-NOV-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","nflg","subdivision_missing"
"946","KY263623",NA,2016-10-01,2016.74863387978,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Garrulus","glandarius",NA,270,"partial",NA,"Usutu virus strain USU-BE-Angleur/2016 NS5 protein gene, partial cds",28181903,"Euro Surveill. 22 (4) (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (25-NOV-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","NS5","subdivision_missing"
"947","KY263622",NA,2016-10-01,2016.74863387978,"BE","Belgium",NA,NA,NA,"Insecta","Diptera","Culex",NA,NA,268,"partial",NA,"Usutu virus strain USU-BE-Opglabbeek/2016 NS5 protein gene, partial cds",28181903,"Euro Surveill. 22 (4) (2017)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (25-NOV-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","NS5","subdivision_missing"
"948","KX977447",NA,2016-09-01,2016.66666666667,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10325,"nflg",NA,"Usutu virus strain 16/Belgium/black bird/1 polyprotein gene, partial cds",NA,"Unpublished",NA,"rna",NA,NA,NA,NA,NA,"Submitted (11-OCT-2016) Veterinary Pathology, University of Liege, Avenue de Cureghem 6 (B43), Liege, Liege B-4000, Belgium",NA,NA,NA,NA,NA,2017-02-14,"European","nflg","subdivision_missing"
"949","KY199558",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,11065,"nflg","Sanger dideoxy sequencing","Usutu virus strain VD54359, complete genome",NA,"Unpublished","Dresden","rna",NA,NA,NA,NA,NA,"Submitted (17-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","nflg","collection.date_resolution"
"950","KY199557",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,11065,"nflg","Sanger dideoxy sequencing","Usutu virus strain 65436, complete genome",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (17-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","nflg","collection.date_resolution"
"951","KY199556",NA,2016-01-01,2016,"DE","Germany","ST","Sachsen-Anhalt",NA,"Aves","Strigiformes","Strix","nebulosa",NA,11064,"nflg","Sanger dideoxy sequencing","Usutu virus strain 65396, complete genome",NA,"Unpublished","Halle (Saale)","rna",NA,NA,NA,NA,NA,"Submitted (17-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","nflg","collection.date_resolution"
"952","KY084498",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,945,"partial","Sanger dideoxy sequencing","Usutu virus strain VD54359 envelope protein gene, partial cds",NA,"Unpublished","Dresden","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"953","KY084497",NA,2016-01-01,2016,"DE","Germany","ST","Sachsen-Anhalt",NA,"Insecta","Diptera","Culex",NA,NA,942,"partial","Sanger dideoxy sequencing","Usutu virus strain MS2016-P7 envelope protein gene, partial cds",NA,"Unpublished","Zeitz","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"954","KY084496",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,948,"partial","Sanger dideoxy sequencing","Usutu virus strain LUA53550 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"955","KY084495",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,948,"partial","Sanger dideoxy sequencing","Usutu virus strain LUA53825 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"956","KY084494",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,909,"partial","Sanger dideoxy sequencing","Usutu virus strain 65391 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"957","KY084493",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,948,"partial","Sanger dideoxy sequencing","Usutu virus strain 65556 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"958","KY084492",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,954,"partial","Sanger dideoxy sequencing","Usutu virus strain 65526 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"959","KY084491",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,951,"partial","Sanger dideoxy sequencing","Usutu virus strain 65346 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"960","KY084490",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,954,"partial","Sanger dideoxy sequencing","Usutu virus strain 65480 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"961","KY084489",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,951,"partial","Sanger dideoxy sequencing","Usutu virus strain 65460 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"962","KY084488",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,960,"partial","Sanger dideoxy sequencing","Usutu virus strain 65327 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"963","KY084487",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,951,"partial","Sanger dideoxy sequencing","Usutu virus strain 65310 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"964","KY084486",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,951,"partial","Sanger dideoxy sequencing","Usutu virus strain 65177 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"965","KY084485",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,948,"partial","Sanger dideoxy sequencing","Usutu virus strain 65439 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"966","KY084484",NA,2016-01-01,2016,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,948,"partial","Sanger dideoxy sequencing","Usutu virus strain 65436 envelope protein gene, partial cds",NA,"Unpublished","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"967","KY084483",NA,2016-01-01,2016,"DE","Germany","ST","Sachsen-Anhalt",NA,"Aves","Strigiformes","Strix","nebulosa",NA,951,"partial","Sanger dideoxy sequencing","Usutu virus strain 65396 envelope protein gene, partial cds",NA,"Unpublished","Halle (Saale)","rna",NA,NA,NA,NA,NA,"Submitted (03-NOV-2016) University of Leipzig-Faculty of Veterinary Medicine, Institute of Virology, An den Tierkliniken 29, Leipzig, Sachsen 04103, Germany",NA,NA,NA,NA,NA,2017-02-08,"European","envelope","collection.date_resolution"
"968","KY315178","Gracula religiosa/U1609393/Belgium/2016",2016-10-03,2016.75409836066,"BE","Belgium",NA,NA,NA,"Aves","Passeriformes","Gracula","religiosa","brain tissue",10959,"nflg","Illumina","Usutu virus isolate Gracula religiosa/U1609393/Belgium/2016 polyprotein gene, complete cds",NA,"Unpublished",NA,"rna",NA,NA,NA,NA,NA,"Submitted (08-DEC-2016) O.D. Viral Diseases, Veterinary and Agrochemical Research Center (CODA-CERVA), Groeselenberg 99, Ukkel, Brussels B-1180, Belgium",NA,NA,NA,NA,NA,2017-01-16,"European","nflg","subdivision_missing"
"969","KY128482","S.nebulosa-6004/NL/2016",2016-09-01,2016.66666666667,"NL","Netherlands","LI","Limburg",NA,"Aves","Strigiformes","Strix","nebulosa","liver",11052,"nflg","454","Usutu virus isolate S.nebulosa-6004/NL/2016, complete genome",NA,"Unpublished","Kerkrade","rna",NA,NA,NA,NA,NA,"Submitted (14-NOV-2016) Virus Genomics, Erasmus Medical Centre, 's-Gravendijkwal 230, Rotterdam 3015 CE, The Netherlands",NA,NA,NA,NA,NA,2016-12-27,"European","nflg",""
"970","KY128481","S.nebulosa-7890/Fra/2016",2016-09-22,2016.72404371585,"FR","France","PAC","Provence-Alpes-Cote-d'Azur",NA,"Aves","Strigiformes","Strix","nebulosa","spleen",10475,"nflg","454","Usutu virus isolate S.nebulosa-7890/Fra/2016, complete genome",NA,"Unpublished","Sainte Croix","rna",NA,NA,NA,NA,NA,"Submitted (14-NOV-2016) Virus Genomics, Erasmus Medical Centre, 's-Gravendijkwal 230, Rotterdam 3015 CE, The Netherlands",NA,NA,NA,NA,NA,2016-12-27,"European","nflg",""
"971","KU664617","M905",2015-01-01,2015,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1364,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/M905 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"972","KU664616","M689",2013-01-01,2013,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1364,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/M689 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"973","KU664615","27/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1289,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/27-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"974","KU664614","26/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1778,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/26-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"975","KU664613","25/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1777,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/25-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"976","KU664612","24/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1846,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/24-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"977","KU664611","22/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1384,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/22-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"978","KU664610","21/11",2011-01-01,2011,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa",NA,1384,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/21-11 nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (02-FEB-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"979","KU664609","Usutu Berlin",2015-01-01,2015,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa","liver",2443,"partial","Sanger dideoxy sequencing","Usutu virus clone ME/2015/ED-B nonstructural protein 5 gene, partial cds",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (29-JAN-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European",NA,"collection.date_resolution,subdivision_missing"
"980","KU664608","Usutu Berlin",2015-01-01,2015,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa","liver",11038,"nflg","Illumina","Usutu virus clone ME/2015/ED-A, complete genome",27527765,"Vet. Microbiol. 192, 60-66 (2016)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (29-JAN-2016) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, suedufer 10, Greifswald-Insel Riems 17493, Germany",NA,NA,NA,NA,NA,2016-12-13,"European","nflg","collection.date_resolution,subdivision_missing"
"981","KX257053",NA,2015-01-01,2015,"IT","Italy","21","Piemonte",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain VB_15_Tm NS5 protein gene, partial cds",NA,"Unpublished","Verbania","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
"982","KX257052",NA,2010-01-01,2010,"IT","Italy","57","Marche",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain OS1_10_Tm NS5 protein gene, partial cds",NA,"Unpublished","Osimo","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
"983","KX257051",NA,2010-01-01,2010,"IT","Italy","57","Marche",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain OS_10_Tm NS5 protein gene, partial cds",NA,"Unpublished","Osimo","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
"984","KX257050",NA,2010-01-01,2010,"IT","Italy","57","Marche",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain SE1_10_Tm NS5 protein gene, partial cds",NA,"Unpublished","Senigallia","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
"985","KX257049",NA,2010-01-01,2010,"IT","Italy","57","Marche",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain SE_10_Tm NS5 protein gene, partial cds",NA,"Unpublished","Senigallia","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
"986","KX257048",NA,2010-01-01,2010,"IT","Italy","57","Marche",NA,"Aves","Passeriformes","Turdus","merula","internal organs",450,"partial","Sanger dideoxy sequencing","Usutu virus strain UR_10_Tm NS5 protein gene, partial cds",NA,"Unpublished","Pesaro/Urbino","rna",NA,NA,NA,NA,NA,"Submitted (18-MAY-2016) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy",NA,NA,NA,NA,NA,2016-11-15,"European","NS5","collection.date_resolution"
